13.05.04;Kec. 2 x 11 Enam Lingkuang, KAB. PADANG PARIAMAN, SUMATERA BARAT
13.05.15;Kec. 2 x 11 Kayu Tanam, KAB. PADANG PARIAMAN, SUMATERA BARAT
16.12.04;Kec. Abab, KAB. PENUKAL ABAB LEMATANG ILIR, SUMATERA SELATAN
53.05.18;Kec. Abad Selatan, KAB. ALOR, NUSA TENGGARA TIMUR
51.07.05;Kec. Abang, KAB. KARANGASEM, BALI
74.71.06;Kec. Abeli, KOTA KENDARI, SULAWESI TENGGARA
95.06.03;Kec. Abenaho, KAB. YALIMO, PAPUA PEGUNUNGAN
91.71.03;Kec. Abepura, KOTA JAYAPURA, PAPUA
51.03.03;Kec. Abiansemal, KAB. BADUNG, BALI
95.02.08;Kec. Aboy, KAB. PEGUNUNGAN BINTANG, PAPUA PEGUNUNGAN
74.02.10;Kec. Abuki, KAB. KONAWE, SULAWESI TENGGARA
92.09.06;Kec. Abun, KAB. TAMBRAUW, PAPUA BARAT
18.03.06;Kec. Abung Barat, KAB. LAMPUNG UTARA, LAMPUNG
18.03.22;Kec. Abung Kunang, KAB. LAMPUNG UTARA, LAMPUNG
18.03.19;Kec. Abung Pekurun, KAB. LAMPUNG UTARA, LAMPUNG
18.03.07;Kec. Abung Selatan, KAB. LAMPUNG UTARA, LAMPUNG
18.03.13;Kec. Abung Semuli, KAB. LAMPUNG UTARA, LAMPUNG
18.03.14;Kec. Abung Surakarta, KAB. LAMPUNG UTARA, LAMPUNG
18.03.11;Kec. Abung Tengah, KAB. LAMPUNG UTARA, LAMPUNG
18.03.05;Kec. Abung Timur, KAB. LAMPUNG UTARA, LAMPUNG
18.03.12;Kec. Abung Tinggi, KAB. LAMPUNG UTARA, LAMPUNG
12.02.03;Kec. Adian Koting, KAB. TAPANULI UTARA, SUMATERA UTARA
18.10.07;Kec. Adiluwih, KAB. PRINGSEWU, LAMPUNG
33.05.15;Kec. Adimulyo, KAB. KEBUMEN, JAWA TENGAH
33.01.03;Kec. Adipala, KAB. CILACAP, JAWA TENGAH
33.28.11;Kec. Adiwerna, KAB. TEGAL, JAWA TENGAH
53.06.17;Kec. Adonara, KAB. FLORES TIMUR, NUSA TENGGARA TIMUR
53.06.08;Kec. Adonara Barat, KAB. FLORES TIMUR, NUSA TENGGARA TIMUR
53.06.18;Kec. Adonara Tengah, KAB. FLORES TIMUR, NUSA TENGGARA TIMUR
53.06.10;Kec. Adonara Timur, KAB. FLORES TIMUR, NUSA TENGGARA TIMUR
12.03.22;Kec. Aek Bilah, KAB. TAPANULI SELATAN, SUMATERA UTARA
12.09.18;Kec. Aek Kuasan, KAB. ASAHAN, SUMATERA UTARA
12.23.04;Kec. Aek Kuo, KAB. LABUHANBATU UTARA, SUMATERA UTARA
12.09.32;Kec. Aek Ledong, KAB. ASAHAN, SUMATERA UTARA
12.21.11;Kec. Aek Nabara Barumun, KAB. PADANG LAWAS, SUMATERA UTARA
12.23.07;Kec. Aek Natas, KAB. LABUHANBATU UTARA, SUMATERA UTARA
12.09.21;Kec. Aek Songsongan, KAB. ASAHAN, SUMATERA UTARA
74.11.10;Kec. Aere, KAB. KOLAKA TIMUR, SULAWESI TENGGARA
71.72.04;Kec. Aertembaga, KOTA BITUNG, SULAWESI UTARA
53.16.01;Kec. Aesesa, KAB. NAGEKEO, NUSA TENGGARA TIMUR
53.16.07;Kec. Aesesa Selatan, KAB. NAGEKEO, NUSA TENGGARA TIMUR
12.24.09;Kec. Afulu, KAB. NIAS UTARA, SUMATERA UTARA
94.05.07;Kec. Agandugume, KAB. PUNCAK, PAPUA TENGAH
93.04.01;Kec. Agats, KAB. ASMAT, PAPUA SELATAN
94.04.02;Kec. Agimuga, KAB. MIMIKA, PAPUA TENGAH
94.07.05;Kec. Agisiga, KAB. INTAN JAYA, PAPUA TENGAH
32.03.22;Kec. Agrabinta, KAB. CIANJUR, JAWA BARAT
92.10.01;Kec. Aifat, KAB. MAYBRAT, PAPUA BARAT
92.10.04;Kec. Aifat Selatan, KAB. MAYBRAT, PAPUA BARAT
92.10.03;Kec. Aifat Timur, KAB. MAYBRAT, PAPUA BARAT
92.10.13;Kec. Aifat Timur Jauh, KAB. MAYBRAT, PAPUA BARAT
92.10.14;Kec. Aifat Timur Selatan, KAB. MAYBRAT, PAPUA BARAT
92.10.12;Kec. Aifat Timur Tengah, KAB. MAYBRAT, PAPUA BARAT
92.10.02;Kec. Aifat Utara, KAB. MAYBRAT, PAPUA BARAT
52.03.09;Kec. Aikmel, KAB. LOMBOK TIMUR, NUSA TENGGARA BARAT
91.06.19;Kec. Aimando Padaido, KAB. BIAK NUMFOR, PAPUA
92.01.07;Kec. Aimas, KAB. SORONG, PAPUA BARAT
53.09.01;Kec. Aimere, KAB. NGADA, NUSA TENGGARA TIMUR
12.09.13;Kec. Air Batu, KAB. ASAHAN, SUMATERA UTARA
